"","rp_t"
"1",0.00238195888333459
"2",0.00725289212303593
"3",0.00261130238454321
"4",0.00476458399271629
"5",0.00103572205898284
"6",0.00380406463886274
"7",0.00336728634861916
"8",0.000997528362248756
"9",0.00225358668817432
"10",0.00010463941061134
"11",0.00216793495179379
"12",0.000183632899810049
"13",0.00343708572457113
"14",0.00212085278824536
"15",0.00234668682017414
"16",0.00306748711890814
"17",0.00406501813081461
"18",0.00618324248805902
"19",0.00116657252819119
"20",0.000365504515367321
"21",0.0020517753925573
"22",0.00092495995709263
"23",0.00771924944111524
"24",0.00355063678371403
"25",0.00282489451494505
"26",0.0062911299104248
"27",0.00348760644522605
"28",0.00115202845940787
"29",0.00241031268467973
"30",0.000909754938695828
"31",0.00010597226787723
"32",0.00574396706932667
"33",0.000676113876567963
"34",0.00749898576467667
"35",0.00116865770358265
"36",0.00187826894231435
"37",0.00246560982027677
"38",0.00354930279439014
"39",0.00835232473623959
"40",0.00042041737232501
"41",0.000115691903296633
"42",0.000218849123636899
"43",0.0031540905387043
"44",0.00655918679685641
"45",0.0058829369055643
"46",0.0061431145625428
"47",0.00326277784470697
"48",0.00138621144613427
"49",0.00215788065366085
"50",0.00425836132395907
"51",0.00152166900716866
"52",0.00347972350682557
"53",0.00679608270351517
"54",0.00297072842551527
"55",0.00214014335684232
"56",0.00742120287369352
"57",0.0135954555761167
"58",0.00489152283630823
"59",0.000153591038181022
"60",0.0172554664646091
"61",0.00402204081443935
"62",0.0247073705887179
"63",0.00293713842241994
"64",0.00928453301746646
"65",0.00530837390784322
"66",0.00790235710808718
"67",0.00130910069341028
"68",0.00197868891657571
"69",0.000695613219099389
"70",0.000591701446546078
"71",0.00321632232585101
"72",0.00209926902707591
"73",0.0036114502859923
"74",0.011523631946931
"75",0.00366494027888953
"76",0.00251825808015038
"77",0.00257481713038721
"78",0.00204890547004832
"79",0.00201216064542953
"80",0.00462125465338925
"81",0.0043625941725195
"82",0.0126486422554012
"83",0.000659693787936066
"84",0.00942680006209828
"85",0.0021241724708202
"86",0.0051171405578766
"87",0.011365090318414
"88",0.0127145787178615
"89",0.00343733593016338
"90",0.00389370696355107
"91",0.00535677476370755
"92",0.0168216161817767
"93",0.00771200369190306
"94",0.00801207604538057
"95",0.000881498452369511
"96",0.00607651969192891
"97",0.0134125652740729
"98",0.00861520311495012
"99",0.0157031341593084
"100",0.0110987105264739
